date,benzina,gasolio
2007-08-20,1.30115,1.17143
2007-08-27,1.29362,1.16443
2007-09-03,1.29797,1.16774
2007-09-10,1.30883,1.17352
2007-09-17,1.3075,1.18859
2007-09-24,1.31324,1.19745
2007-10-01,1.31409,1.20316
2007-10-08,1.31148,1.20336
2007-10-15,1.31183,1.20336
2007-10-22,1.31346,1.20757
2007-10-29,1.31909,1.21384
2007-11-05,1.33165,1.22938
2007-11-12,1.35642,1.25941
2007-11-19,1.36044,1.26419
2007-11-26,1.36388,1.28921
2007-12-03,1.36344,1.29156
2007-12-10,1.36199,1.29003
2007-12-17,1.35866,1.28136
2007-12-31,1.35916,1.28095
2008-01-07,1.37718,1.29583
2008-01-14,1.37194,1.28722
2008-01-21,1.35599,1.2605
2008-01-28,1.35175,1.25485
2008-02-04,1.35292,1.25877
2008-02-11,1.35235,1.25879
2008-02-18,1.36702,1.27886
2008-02-25,1.38505,1.30905
2008-03-03,1.38846,1.31345
2008-03-10,1.38875,1.32507
2008-03-17,1.38552,1.349
2008-03-31,1.36313,1.32694
2008-04-07,1.3642,1.32647
2008-04-14,1.3804,1.34601
2008-04-21,1.38072,1.36636
2008-04-28,1.39585,1.37711
2008-05-05,1.4316,1.41136
2008-05-12,1.45908,1.44565
2008-05-19,1.47316,1.46706
2008-05-26,1.4971,1.49351
2008-06-02,1.4964,1.49021
2008-06-09,1.50278,1.49785
2008-06-16,1.52464,1.52034
2008-06-23,1.52503,1.52065
2008-06-30,1.52497,1.52052
2008-07-07,1.5283,1.52407
2008-07-14,1.53235,1.52842
2008-07-21,1.52412,1.51898
2008-07-28,1.48964,1.48471
2008-08-04,1.46745,1.46236
2008-08-11,1.4532,1.42788
2008-08-18,1.44854,1.41855
2008-08-25,1.45035,1.41825
2008-09-01,1.45413,1.41597
2008-09-08,1.44569,1.39653
2008-09-15,1.44453,1.37574
2008-09-22,1.40547,1.35328
2008-09-29,1.41339,1.36277
2008-10-06,1.40383,1.35963
2008-10-13,1.35151,1.29776
2008-10-20,1.29285,1.25268
2008-10-27,1.26653,1.2323
2008-11-03,1.25569,1.21737
2008-11-10,1.22251,1.20992
2008-11-17,1.19976,1.19267
2008-11-24,1.15411,1.14863
2008-12-01,1.14696,1.14185
2008-12-08,1.12781,1.11302
2008-12-15,1.11459,1.08019
2008-12-22,1.10218,1.05345
2009-01-05,1.08264,1.02249
2009-01-12,1.11287,1.05218
2009-01-19,1.13241,1.07011
2009-01-26,1.13643,1.061
2009-02-02,1.14418,1.06259
2009-02-09,1.14207,1.06593
2009-02-16,1.13466,1.06117
2009-02-23,1.14329,1.03324
2009-03-02,1.15623,1.02086
2009-03-09,1.16068,1.01814
2009-03-16,1.165,1.01883
2009-03-23,1.16448,1.0265
2009-03-30,1.18642,1.04153
2009-04-06,1.17587,1.0323
2009-04-20,1.19631,1.05182
2009-04-27,1.19758,1.05519
2009-05-04,1.18332,1.05186
2009-05-11,1.22938,1.07109
2009-05-18,1.23404,1.06609
2009-05-25,1.26306,1.06003
2009-06-01,1.27581,1.0647
2009-06-08,1.28337,1.09013
2009-06-15,1.30507,1.10955
2009-06-22,1.31606,1.11809
2009-06-29,1.29146,1.10162
2009-07-06,1.27943,1.09617
2009-07-13,1.25953,1.07466
2009-07-20,1.25129,1.06492
2009-07-27,1.2794,1.10277
2009-08-03,1.28003,1.104
2009-08-10,1.30744,1.12723
2009-08-17,1.3039,1.12363
2009-08-24,1.29628,1.11892
2009-08-31,1.29207,1.11685
2009-09-07,1.27205,1.09485
2009-09-14,1.27004,1.09299
2009-09-21,1.26719,1.0914
2009-09-28,1.241,1.07568
2009-10-05,1.23639,1.07916
2009-10-12,1.25118,1.08655
2009-10-19,1.26446,1.10649
2009-10-26,1.28654,1.12657
2009-11-02,1.29488,1.13457
2009-11-09,1.29308,1.12946
2009-11-16,1.28261,1.11663
2009-11-23,1.28877,1.12463
2009-11-30,1.28129,1.1175
2009-12-07,1.28107,1.11806
2009-12-14,1.27031,1.10888
2009-12-21,1.26398,1.11334
2009-12-28,1.27203,1.11697
2010-01-04,1.29397,1.13546
2010-01-11,1.31076,1.15297
2010-01-18,1.31594,1.15752
2010-01-25,1.31383,1.14715
2010-02-01,1.3126,1.13604
2010-02-08,1.32082,1.14294
2010-02-15,1.30698,1.13523
2010-02-22,1.3111,1.15508
2010-03-01,1.33318,1.18087
2010-03-08,1.35243,1.18181
2010-03-15,1.36315,1.18953
2010-03-22,1.37649,1.20084
2010-03-29,1.37749,1.20189
2010-04-12,1.39262,1.21994
2010-04-19,1.39212,1.22321
2010-04-26,1.38967,1.2304
2010-05-03,1.40464,1.24762
2010-05-10,1.39964,1.24573
2010-05-17,1.39459,1.25103
2010-05-24,1.37259,1.22712
2010-05-31,1.35933,1.2161
2010-06-07,1.37218,1.22993
2010-06-14,1.37618,1.23959
2010-06-21,1.39159,1.25171
2010-06-28,1.3957,1.24792
2010-07-05,1.37765,1.21959
2010-07-12,1.37237,1.21209
2010-07-19,1.36556,1.20736
2010-07-26,1.35544,1.20161
2010-08-02,1.3628,1.21047
2010-08-09,1.36678,1.2142
2010-08-16,1.36594,1.21266
2010-08-23,1.35969,1.21096
2010-08-30,1.35036,1.20752
2010-09-06,1.34991,1.20893
2010-09-13,1.35913,1.22245
2010-09-20,1.36474,1.22779
2010-09-27,1.34796,1.2159
2010-10-04,1.34406,1.21167
2010-10-11,1.35447,1.22372
2010-10-18,1.35883,1.22915
2010-10-25,1.35157,1.2237
2010-11-01,1.3529,1.22764
2010-11-08,1.36398,1.23393
2010-11-15,1.38146,1.25591
2010-11-22,1.37711,1.24888
2010-11-29,1.38492,1.26041
2010-12-06,1.41207,1.28561
2010-12-13,1.41932,1.29523
2010-12-20,1.41772,1.2925
2011-01-03,1.4375,1.31212
2011-01-10,1.44469,1.31827
2011-01-17,1.4656,1.34035
2011-01-24,1.47051,1.34945
2011-01-31,1.46582,1.34589
2011-02-07,1.46598,1.34685
2011-02-14,1.46605,1.34768
2011-02-21,1.47465,1.35803
2011-02-28,1.50797,1.39209
2011-03-07,1.52487,1.41667
2011-03-14,1.53148,1.42261
2011-03-21,1.52715,1.42526
2011-03-28,1.52136,1.42857
2011-04-04,1.52301,1.42917
2011-04-11,1.54987,1.45662
2011-04-18,1.5548,1.45977
2011-04-25,1.55133,1.4562
2011-05-02,1.55247,1.45681
2011-05-16,1.55081,1.40896
2011-05-23,1.53832,1.40306
2011-05-30,1.53732,1.40298
2011-06-06,1.5353,1.40179
2011-06-13,1.53059,1.40385
2011-06-20,1.52936,1.41169
2011-06-27,1.50684,1.38481
2011-07-04,1.55563,1.42862
2011-07-18,1.5898,1.46457
2011-07-25,1.59024,1.46531
2011-08-01,1.59752,1.47398
2011-08-08,1.59274,1.46792
2011-08-22,1.56884,1.44267
2011-08-29,1.56791,1.44163
2011-09-05,1.57539,1.44927
2011-09-12,1.59044,1.4648
2011-09-19,1.60545,1.48281
2011-09-26,1.60402,1.4858
2011-10-03,1.59412,1.48251
2011-10-10,1.58594,1.47961
2011-10-17,1.58906,1.48121
2011-10-24,1.5971,1.49104
2011-10-31,1.58892,1.48935
2011-11-07,1.59213,1.50136
2011-11-14,1.59472,1.51618
2011-11-21,1.58757,1.52503
2011-11-28,1.57698,1.5293
2011-12-05,1.5753,1.52592
2011-12-12,1.67273,1.65831
2011-12-19,1.6735,1.65399
2011-12-26,1.67576,1.65305
2012-01-02,1.68626,1.65311
2012-01-09,1.69402,1.66402
